state,state_fips,zip_code,brnd_name,gnrc_name,totl_day_sply,totl_drg_cost
NY,36,"11777",Trintellix,"Vortioxetine Hydrobromide",450,5939.65
ID,16,"83642",Trintellix,"Vortioxetine Hydrobromide",990,13691.82
NY,36,"46260",Trintellix,"Vortioxetine Hydrobromide",1860,25116.72
SD,46,"57580",Trintellix,"Vortioxetine Hydrobromide",390,5390.02
FL,12,"32891",Trintellix,"Vortioxetine Hydrobromide",960,8220.11
IA,19,"51103",Trintellix,"Vortioxetine Hydrobromide",780,10721.47
ID,16,"83642",Trintellix,"Vortioxetine Hydrobromide",364,5247.65
SD,46,"57701",Trintellix,"Vortioxetine Hydrobromide",690,9634.14
NY,36,"10011",Trintellix,"Vortioxetine Hydrobromide",630,8830.75
NY,36,"10016",Trintellix,"Vortioxetine Hydrobromide",840,11156.63
CA,06,"95032",Trintellix,"Vortioxetine Hydrobromide",630,8536.92
TN,47,"37228",Trintellix,"Vortioxetine Hydrobromide",1980,27832.45
NE,31,"68164",Trintellix,"Vortioxetine Hydrobromide",540,7491.8
CO,08,"80011",Trintellix,"Vortioxetine Hydrobromide",450,6457.65
TX,48,"78501",Trintellix,"Vortioxetine Hydrobromide",4443,61603.19
OH,39,"45439",Trintellix,"Vortioxetine Hydrobromide",1400,18453.45
MS,28,"38603",Trintellix,"Vortioxetine Hydrobromide",900,12406.43
IL,17,"61764",Trintellix,"Vortioxetine Hydrobromide",1824,25367.46
GA,13,"30101",Trintellix,"Vortioxetine Hydrobromide",690,9472.37
CO,08,"80720",Trintellix,"Vortioxetine Hydrobromide",746,10590.27
LA,22,"70506",Trintellix,"Vortioxetine Hydrobromide",336,4836.66
OH,39,"45102",Trintellix,"Vortioxetine Hydrobromide",1184,16087.4
MS,28,"39209",Trintellix,"Vortioxetine Hydrobromide",510,7129.41
MN,27,"55129",Trintellix,"Vortioxetine Hydrobromide",210,3128.85
CT,09,"06095",Trintellix,"Vortioxetine Hydrobromide",1140,15548.2
OH,39,"44011",Trintellix,"Vortioxetine Hydrobromide",360,5110.92
IA,19,"50314",Trintellix,"Vortioxetine Hydrobromide",360,4935.72
IN,18,"46845",Trintellix,"Vortioxetine Hydrobromide",535,7172.33
TN,47,"38138",Trintellix,"Vortioxetine Hydrobromide",330,4268.08
NE,31,"68198",Trintellix,"Vortioxetine Hydrobromide",904,12579.58
GA,13,"30374",Trintellix,"Vortioxetine Hydrobromide",390,5466.82
IN,18,"46953",Trintellix,"Vortioxetine Hydrobromide",829,11479.33
TN,47,"37615",Trintellix,"Vortioxetine Hydrobromide",1244,16954.42
MS,28,"39216",Trintellix,"Vortioxetine Hydrobromide",450,8756.57
MS,28,"38801",Trintellix,"Vortioxetine Hydrobromide",510,7105.44
TX,48,"76135",Trintellix,"Vortioxetine Hydrobromide",570,7099.24
GA,13,"31324",Trintellix,"Vortioxetine Hydrobromide",600,7884.64
NY,36,"13031",Trintellix,"Vortioxetine Hydrobromide",360,4993.68
TN,47,"37087",Trintellix,"Vortioxetine Hydrobromide",717,9829.67
OH,39,"44094",Trintellix,"Vortioxetine Hydrobromide",540,7395.15
TX,48,"77021",Trintellix,"Vortioxetine Hydrobromide",420,5700.49
VA,51,"23452",Trintellix,"Vortioxetine Hydrobromide",570,7919.16
MA,25,"02119",Trintellix,"Vortioxetine Hydrobromide",728,10285.64
TN,47,"37203",Trintellix,"Vortioxetine Hydrobromide",688,9657.72
MI,26,"48706",Trintellix,"Vortioxetine Hydrobromide",930,12710.99
OH,39,"44264",Trintellix,"Vortioxetine Hydrobromide",1140,15499.3
KS,20,"67206",Trintellix,"Vortioxetine Hydrobromide",1587,21815.28
VA,51,"22401",Trintellix,"Vortioxetine Hydrobromide",450,6016.32
MO,29,"65340",Trintellix,"Vortioxetine Hydrobromide",510,7057.16
DE,10,"19713",Trintellix,"Vortioxetine Hydrobromide",540,7519.87
TN,47,"37912",Trintellix,"Vortioxetine Hydrobromide",570,7949.83
MI,26,"48670",Trintellix,"Vortioxetine Hydrobromide",720,9949.76
PA,42,"15209",Trintellix,"Vortioxetine Hydrobromide",982,13355.33
GA,13,"31904",Trintellix,"Vortioxetine Hydrobromide",450,6285.8
AL,01,"35203",Trintellix,"Vortioxetine Hydrobromide",669,9310.32
WA,53,"96761",Trintellix,"Vortioxetine Hydrobromide",334,4677.39
NY,36,"14550",Trintellix,"Vortioxetine Hydrobromide",360,4987.92
FL,12,"32703",Trintellix,"Vortioxetine Hydrobromide",720,9806.8
KY,21,"40207",Trintellix,"Vortioxetine Hydrobromide",660,9178.68
CO,08,"80027",Trintellix,"Vortioxetine Hydrobromide",510,6932.87
LA,22,"71295",Trintellix,"Vortioxetine Hydrobromide",900,11627.76
WI,55,"53098",Trintellix,"Vortioxetine Hydrobromide",1137,15874.97
CO,08,"80033",Trintellix,"Vortioxetine Hydrobromide",252,7037.9
MI,26,"48170",Trintellix,"Vortioxetine Hydrobromide",854,11457.28
ME,23,"04672",Trintellix,"Vortioxetine Hydrobromide",561,7800.94
NY,36,"10940",Trintellix,"Vortioxetine Hydrobromide",1980,26708.24
MO,29,"64803",Trintellix,"Vortioxetine Hydrobromide",614,8347.92
TX,48,"76113",Trintellix,"Vortioxetine Hydrobromide",402,6159.42
NC,37,"28036",Trintellix,"Vortioxetine Hydrobromide",720,9639.19
NE,31,"69361",Trintellix,"Vortioxetine Hydrobromide",817,11611.83
CA,06,"93720",Trintellix,"Vortioxetine Hydrobromide",720,9345.72
NY,36,"12095",Trintellix,"Vortioxetine Hydrobromide",480,6583.4
AR,05,"72923",Trintellix,"Vortioxetine Hydrobromide",480,6480.46
TX,48,"78573",Trintellix,"Vortioxetine Hydrobromide",4320,59710.65
MI,26,"48201",Trintellix,"Vortioxetine Hydrobromide",480,6773.95
KY,21,"40504",Trintellix,"Vortioxetine Hydrobromide",720,9837.94
PA,42,"19031",Trintellix,"Vortioxetine Hydrobromide",360,5152.87
NY,36,"14850",Trintellix,"Vortioxetine Hydrobromide",630,8595.9
MO,29,"64118",Trintellix,"Vortioxetine Hydrobromide",840,11336.23
WI,55,"53226",Trintellix,"Vortioxetine Hydrobromide",360,4653.12
AR,05,"72714",Trintellix,"Vortioxetine Hydrobromide",360,4653
CA,06,"92234",Trintellix,"Vortioxetine Hydrobromide",330,4756.95
FL,12,"33144",Trintellix,"Vortioxetine Hydrobromide",540,7275.56
FL,12,"34761",Trintellix,"Vortioxetine Hydrobromide",2910,39288.4
NJ,34,"07012",Trintellix,"Vortioxetine Hydrobromide",1440,18583.28
SC,45,"29502",Trintellix,"Vortioxetine Hydrobromide",390,5863.6
FL,12,"34232",Trintellix,"Vortioxetine Hydrobromide",1080,14015.82
KY,21,"45263",Trintellix,"Vortioxetine Hydrobromide",1090,14389.37
MI,26,"49508",Trintellix,"Vortioxetine Hydrobromide",510,6683.2
CT,09,"06451",Trintellix,"Vortioxetine Hydrobromide",1050,14060.56
OH,39,"41105",Trintellix,"Vortioxetine Hydrobromide",600,8284.68
MI,26,"48076",Trintellix,"Vortioxetine Hydrobromide",1200,16039.49
CA,06,"95111",Trintellix,"Vortioxetine Hydrobromide",2130,29239.6
MA,25,"02284",Trintellix,"Vortioxetine Hydrobromide",330,4577.54
MO,29,"63851",Trintellix,"Vortioxetine Hydrobromide",2001,28339.46
NJ,34,"08755",Trintellix,"Vortioxetine Hydrobromide",690,9313.05
TX,48,"75251",Trintellix,"Vortioxetine Hydrobromide",510,6947.23
MI,26,"48035",Trintellix,"Vortioxetine Hydrobromide",870,11360.29
LA,22,"70586",Trintellix,"Vortioxetine Hydrobromide",780,10663.47
PA,42,"19130",Trintellix,"Vortioxetine Hydrobromide",900,11825.26
NJ,34,"07701",Trintellix,"Vortioxetine Hydrobromide",360,5018.88
LA,22,"75312",Trintellix,"Vortioxetine Hydrobromide",450,5950.2
MA,25,"02129",Trintellix,"Vortioxetine Hydrobromide",390,5436.09
TX,48,"77598",Trintellix,"Vortioxetine Hydrobromide",330,4478.37
IA,19,"50401",Trintellix,"Vortioxetine Hydrobromide",936,16411.05
CA,06,"90067",Trintellix,"Vortioxetine Hydrobromide",960,12321.76
GA,13,"31217",Trintellix,"Vortioxetine Hydrobromide",630,8835.04
IN,18,"46143",Trintellix,"Vortioxetine Hydrobromide",849,16244.55
TX,48,"77381",Trintellix,"Vortioxetine Hydrobromide",420,5541.44
CA,06,"95945",Trintellix,"Vortioxetine Hydrobromide",420,5888.58
SC,45,"29203",Trintellix,"Vortioxetine Hydrobromide",390,5106.69
TX,48,"77702",Trintellix,"Vortioxetine Hydrobromide",280,4050.6
CA,06,"92807",Trintellix,"Vortioxetine Hydrobromide",1560,19320.34
OK,40,"73522",Trintellix,"Vortioxetine Hydrobromide",538,7610.06
