zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost
72034,Zoloft,0,0,N/A,Sertraline Hcl,132916.0,28810.84,0.22
06810,Zoloft,0,0,N/A,Sertraline Hcl,229414.0,52225.63,0.23
62703,Zoloft,0,0,N/A,Sertraline Hcl,519886.0,115174.62,0.22
04412,Zoloft,0,0,N/A,Sertraline Hcl,140701.0,29938.25,0.21
47374,Zoloft,0,0,N/A,Sertraline Hcl,237164.0,48823.89,0.21
40258,Zoloft,0,0,N/A,Sertraline Hcl,93922.0,20367.25,0.22
84124,Zoloft,0,0,N/A,Sertraline Hcl,152068.0,40758.99,0.27
49085,Zoloft,0,0,N/A,Sertraline Hcl,141218.0,31648.24,0.22
34749,Zoloft,0,0,N/A,Sertraline Hcl,28856.0,4571.83,0.16
61103,Zoloft,0,0,N/A,Sertraline Hcl,35561.0,8535.19,0.24
72758,Zoloft,0,0,N/A,Sertraline Hcl,86847.0,14284.37,0.16
78220,Zoloft,0,0,N/A,Sertraline Hcl,25827.0,5424.36,0.21
19904,Zoloft,0,0,N/A,Sertraline Hcl,187456.0,68041.22,0.36
46311,Zoloft,0,0,N/A,Sertraline Hcl,87477.0,16523.33,0.19
98145,Zoloft,390.0,11289.94,28.95,Sertraline Hcl,350495.0,87153.25,0.25
76104,Zoloft,0,0,N/A,Sertraline Hcl,292032.0,69441.75,0.24
04330,Zoloft,0,0,N/A,Sertraline Hcl,233854.0,56059.98,0.24
27030,Zoloft,0,0,N/A,Sertraline Hcl,87846.0,26948.58,0.31
20852,Zoloft,0,0,N/A,Sertraline Hcl,373624.0,82560.57,0.22
95825,Zoloft,0,0,N/A,Sertraline Hcl,140008.0,30134.02,0.22
02114,Zoloft,0,0,N/A,Sertraline Hcl,179675.0,39116.33,0.22
48114,Zoloft,0,0,N/A,Sertraline Hcl,26205.0,4680.9,0.18
22304,Zoloft,0,0,N/A,Sertraline Hcl,11271.0,2314.61,0.21
02241,Zoloft,618.0,9829.26,15.9,Sertraline Hcl,1602122.0,301745.51,0.19
23435,Zoloft,0,0,N/A,Sertraline Hcl,61541.0,12040.72,0.2
52242,Zoloft,0,0,N/A,Sertraline Hcl,290680.0,66003.52,0.23
03867,Zoloft,0,0,N/A,Sertraline Hcl,58399.0,13191.82,0.23
63128,Zoloft,390.0,5534.53,14.19,Sertraline Hcl,345735.0,74132.33,0.21
19958,Zoloft,0,0,N/A,Sertraline Hcl,215125.0,54913.18,0.26
35007,Zoloft,0,0,N/A,Sertraline Hcl,40645.0,7108.88,0.17
