zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,lat,lon
21297,Aricept,0,0,N/A,Donepezil Hcl,86666,31843.42,0.37,0.0,39.284707,-76.620489
43452,Aricept,0,0,N/A,Donepezil Hcl,10553,2568.54,0.24,0.0,41.512855,-82.92948
32444,Aricept,0,0,N/A,Donepezil Hcl,30567,8788.97,0.29,0.0,30.239849,-85.64577
43026,Aricept,0,0,N/A,Donepezil Hcl,54323,16215.97,0.3,0.0,40.021665,-83.14762
63129,Aricept,0,0,N/A,Donepezil Hcl,14963,3142.67,0.21,0.0,38.469953,-90.32161
11743,Aricept,0,0,N/A,Donepezil Hcl,142775,50019.14,0.35,0.0,40.867498,-73.41146
60620,Aricept,0,0,N/A,Donepezil Hcl,6653,2894.16,0.44,0.0,41.740483,-87.65282
60714,Aricept,0,0,N/A,Donepezil Hcl,29563,5979.16,0.2,0.0,42.032379,-87.81563
98405,Aricept,420,7491.26,17.84,Donepezil Hcl,109587,37723.13,0.34,0.381794,47.248953,-122.46599
42304,Aricept,0,0,N/A,Donepezil Hcl,70582,26947.43,0.38,0.0,37.745491,-87.112823
73703,Aricept,0,0,N/A,Donepezil Hcl,6660,1599.83,0.24,0.0,36.402665999999996,-97.92836
27704,Aricept,0,0,N/A,Donepezil Hcl,44453,17607.89,0.4,0.0,36.034561,-78.86892
22801,Aricept,0,0,N/A,Donepezil Hcl,38275,12398.8,0.32,0.0,38.426786,-78.88153
33084,Aricept,0,0,N/A,Donepezil Hcl,2055,481.29,0.23,0.0,26.289057,-80.129816
65275,Aricept,0,0,N/A,Donepezil Hcl,1740,739.56,0.43,0.0,39.463743,-92.00144
02904,Aricept,0,0,N/A,Donepezil Hcl,43098,14611.93,0.34,0.0,41.859199,-71.43142
75503,Aricept,0,0,N/A,Donepezil Hcl,108724,26174.03,0.24,0.0,33.476844,-94.09637
31792,Aricept,0,0,N/A,Donepezil Hcl,41500,14405.16,0.35,0.0,30.817654,-83.98919
