zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,lat,lon
11743,Lipitor,1260.0,14485.31,11.5,Atorvastatin Calcium,1239113.0,239576.57,0.19,0.001016,40.867498,-73.41146
60620,Lipitor,0,0,N/A,Atorvastatin Calcium,45889.0,12639.11,0.28,0.0,41.740483,-87.65282
60714,Lipitor,0,0,N/A,Atorvastatin Calcium,641895.0,127461.49,0.2,0.0,42.032379,-87.81563
98405,Lipitor,360.0,6031.56,16.75,Atorvastatin Calcium,2696056.0,543163.67,0.2,0.000134,47.248953,-122.46599
42304,Lipitor,0,0,N/A,Atorvastatin Calcium,894697.0,198504.57,0.22,0.0,37.745491,-87.112823
73703,Lipitor,0,0,N/A,Atorvastatin Calcium,62877.0,13028.63,0.21,0.0,36.402665999999996,-97.92836
27704,Lipitor,0,0,N/A,Atorvastatin Calcium,691820.0,145920.75,0.21,0.0,36.034561,-78.86892
22801,Lipitor,0,0,N/A,Atorvastatin Calcium,674794.0,147842.77,0.22,0.0,38.426786,-78.88153
33084,Lipitor,0,0,N/A,Atorvastatin Calcium,37331.0,6073.03,0.16,0.0,26.289057,-80.129816
65275,Lipitor,0,0,N/A,Atorvastatin Calcium,14617.0,2355.76,0.16,0.0,39.463743,-92.00144
02904,Lipitor,360.0,5688.36,15.8,Atorvastatin Calcium,748339.0,148401.63,0.2,0.000481,41.859199,-71.43142
75503,Lipitor,0,0,N/A,Atorvastatin Calcium,1248189.0,226498.59,0.18,0.0,33.476844,-94.09637
31792,Lipitor,0,0,N/A,Atorvastatin Calcium,1107090.0,211753.17,0.19,0.0,30.817654,-83.98919
00907,Lipitor,1170.0,18366.36,15.7,Atorvastatin Calcium,237891.0,50737.4,0.21,0.004894,18.451131,-66.07798
37211,Lipitor,0,0,N/A,Atorvastatin Calcium,460062.0,98362.19,0.21,0.0,36.079259,-86.72584
20902,Lipitor,0,0,N/A,Atorvastatin Calcium,211042.0,47147.23,0.22,0.0,39.040759,-77.04876
11201,Lipitor,0,0,N/A,Atorvastatin Calcium,954389.0,184442.5,0.19,0.0,40.695286,-73.98907
27410,Lipitor,0,0,N/A,Atorvastatin Calcium,218105.0,38227.15,0.18,0.0,36.116854,-79.88291
